Longitude,Latitude,Roadsegment
-8.631216,41.158215,288426
-8.630919,41.158161,288426
-8.630343,41.157855,276250
-8.629839,41.157054,276256
-8.629461,41.15691,208934
-8.629623,41.156244,2934
-8.62407,41.158953,208983
-8.624592,41.159439,208977
-8.624466,41.159547,208976
-8.624556,41.159763,208974
-8.630307,41.157378,276253
-8.629551,41.156856,208934
-8.627814,41.157603,276278
-8.628066,41.158107,274019
-8.629236,41.158908,276241
-8.630244,41.158368,276247
-8.631954,41.158458,288429
-8.63379,41.158773,288419
-8.623917,41.158863,208983
-8.624628,41.159484,208976
-8.6238,41.157801,53210
-8.624448,41.159934,208041
-8.626788,41.158908,2652
-8.627553,41.158521,2653
-8.627679,41.158485,2653
-8.629227,41.158917,276241
-8.630199,41.158206,276264
-8.62965,41.157018,276256
-8.629587,41.156388,2934
-8.630253,41.15736,10192
-8.630955,41.157045,10197
-8.631225,41.15637,246145
-8.628336,41.157504,225384
-8.628309,41.157423,225386
-8.628147,41.157477,250667
-8.62803,41.158224,274019
-8.626302,41.159097,2652
-8.625051,41.1597,2652
-8.624952,41.159772,2652
-8.62371,41.160123,208041
-8.624511,41.157117,2949
-8.627553,41.157639,2952
-8.627994,41.1579,276266
-8.628687,41.158566,278842
-8.625663,41.160168,223474
-8.626473,41.159799,223476
-8.627607,41.159799,223482
-8.627814,41.159817,223483
-8.628426,41.159925,223483
-8.628579,41.16006,148169
-8.626419,41.155893,273139
-8.626284,41.156478,273110
-8.626302,41.156406,273110
-8.626338,41.156334,273110
-8.626356,41.156253,273109
-8.626338,41.156361,273110
-8.626149,41.156721,273110
-8.626068,41.156937,273110
-8.626149,41.156883,273110
-8.626203,41.156757,273110
-8.626257,41.156694,273110
-8.626248,41.156595,273110
-8.626266,41.156523,273110
-8.62632,41.156433,273110
-8.626095,41.157207,273140
-8.625996,41.157288,273145
-8.625645,41.15745,2971
-8.625006,41.157315,2951
-8.625015,41.157234,2951
-8.626158,41.157477,2951
-8.627598,41.157756,2952
-8.627949,41.157999,276267
-8.627913,41.158251,276268
-8.628048,41.158521,134544
-8.628615,41.159808,148168
-8.624088,41.157216,80863
-8.625312,41.157432,2951
-8.634024,41.15871,164195
-8.633052,41.158431,259931
-8.632566,41.157864,259926
-8.632431,41.157711,259926
-8.632359,41.157621,259926
-8.632143,41.157378,259927
-8.63208,41.157315,259927
-8.631981,41.157216,259927
-8.631792,41.157027,259927
-8.631684,41.15691,259927
-8.631468,41.156685,246155
-8.631306,41.15664,246153
-8.630955,41.156883,10197
-8.630739,41.156964,10197
-8.63055,41.157081,10197
-8.630253,41.157234,10196
-8.630118,41.157288,276254
-8.629848,41.157126,276255
-8.629236,41.156946,276258
-8.628498,41.156928,80865
-8.627994,41.15628,80864
-8.627526,41.155686,80867
-8.623548,41.157099,80862
-8.625384,41.157396,2951
-8.627688,41.157747,2952
-8.625384,41.157396,2951
-8.627688,41.157747,2952
-8.627769,41.157702,2953
-8.62794,41.158089,276267
-8.62794,41.158377,276270
-8.626302,41.159115,2652
-8.624844,41.159736,2652
-8.623881,41.160105,208041
-8.63037,41.159421,156182
-8.629929,41.158566,250692
-8.630181,41.157504,250701
-8.629029,41.156991,276260
-8.628813,41.156991,276261
-8.628624,41.157036,276263
-8.627949,41.15628,80864
-8.62776,41.156028,80864
-8.623287,41.156964,80862
-8.62371,41.157117,80862
-8.623782,41.15718,53210
-8.624862,41.157189,12224
-8.625231,41.156316,10813
-8.631198,41.159781,128068
-8.630136,41.1588,156185
-8.630172,41.158395,276247
-8.630352,41.158017,276265
-8.629821,41.157108,276255
-8.628831,41.156901,276261
-8.628597,41.156874,80865
-8.628039,41.156199,80864
-8.624925,41.159745,2652
-8.623926,41.16006,208041
-8.630235,41.159106,156184
-8.630145,41.158917,156185
-8.630073,41.158854,156185
-8.630316,41.158107,276265
-8.629929,41.157081,276255
-8.629632,41.156352,2934
-8.626167,41.155605,53222
-8.626689,41.155956,53217
-8.626815,41.155974,53217
-8.626086,41.155605,53222
-8.623269,41.155731,10800
-8.623845,41.158908,208983
-8.624709,41.159601,208975
-8.624655,41.159709,208974
-8.623629,41.157036,80862
-8.625996,41.157468,2951
-8.628003,41.1579,274018
-8.628102,41.158044,274019
-8.628264,41.158377,274033
-8.629038,41.158809,250685
-8.629326,41.158809,250687
-8.630289,41.158215,231189
-8.632035,41.158404,288429
-8.633169,41.158656,288418
-8.623296,41.158566,208986
-8.623647,41.158728,208984
-8.623935,41.158872,208983
-8.62425,41.15898,208983
-8.624304,41.159079,208982
-8.624592,41.159295,208979
-8.624637,41.159583,208975
-8.624673,41.160186,229911
-8.624052,41.157126,80863
-8.625987,41.157459,2951
-8.62767,41.157747,2952
-8.627796,41.157747,2954
-8.628003,41.158125,276268
-8.62812,41.158395,134544
-8.628813,41.15925,148168
-8.624358,41.159205,208981
-8.624763,41.159682,208975
-8.624898,41.159727,2652
-8.628219,41.15754,250667
-8.62803,41.158233,274019
-8.628759,41.158854,134549
-8.629911,41.158719,276245
-8.630703,41.158287,288427
-8.632449,41.158539,288431
-8.633646,41.158755,288419
-8.628264,41.157351,274013
-8.628021,41.15772,274015
-8.627922,41.157918,276266
-8.627373,41.15853,2653
-8.62614,41.15889,2652
-8.62461,41.159691,208975
-8.623449,41.160006,208041
-8.623692,41.157081,80862
-8.623737,41.157009,80862
-8.624394,41.157126,2949
-8.626527,41.157567,2952
-8.627994,41.157855,2959
-8.628273,41.158323,226420
-8.628804,41.159322,148168
-8.630145,41.15736,276253
-8.630046,41.15727,276254
-8.628858,41.156955,276261
-8.62866,41.157054,276263
-8.628462,41.156766,80864
-8.627625,41.155686,80868
-8.623854,41.157063,80863
-8.626221,41.157522,2951
-8.627715,41.157765,2952
-8.627796,41.15781,2955
-8.627985,41.158125,276268
-8.628156,41.158404,274022
-8.62983,41.158575,189268
-8.631135,41.158278,288427
-8.632899,41.158512,288432
-8.633124,41.159079,52556
-8.633844,41.160078,52555
-8.632881,41.159934,52555
-8.624205,41.158953,208983
-8.624646,41.159592,208975
-8.624646,41.160132,229911
-8.623485,41.158656,208984
-8.624691,41.159844,208974
-8.624646,41.159736,208974
-8.628102,41.157423,276274
-8.628849,41.158845,148165
-8.624646,41.159412,208977
-8.627418,41.15565,80866
-8.628507,41.15718,274011
-8.628048,41.15763,274014
-8.627976,41.158134,274019
-8.628813,41.158881,148165
-8.630829,41.159943,142763
-8.63037,41.159358,156182
-8.630307,41.159286,156182
-8.630046,41.158944,156185
-8.629911,41.158665,276245
-8.629983,41.158602,276245
-8.630217,41.158341,276247
-8.63037,41.157657,276251
-8.63019,41.157333,276253
-8.630109,41.157288,276254
-8.625726,41.158611,2652
-8.626293,41.158701,2652
-8.626608,41.158827,2652
-8.626869,41.158854,2652
-8.627292,41.158701,2653
-8.627949,41.158494,2653
-8.629119,41.158899,276241
-8.629299,41.158863,276242
-8.629533,41.1588,276243
-8.630145,41.158269,250696
-8.630199,41.157702,250700
-8.630064,41.157342,189270
-8.629623,41.157036,276256
-8.629749,41.155974,2936
-8.624574,41.159646,208975
-8.624484,41.159889,208041
-8.624727,41.160195,229911
-8.62515,41.159709,2652
-8.627472,41.158638,2653
-8.627706,41.158566,2653
-8.627931,41.158521,2653
-8.629452,41.158827,276242
-8.630163,41.158269,276247
-8.62974,41.157108,276256
-8.629866,41.155623,2940
-8.627544,41.155866,80864
-8.628318,41.156289,80864
-8.628552,41.156568,80864
-8.628165,41.15718,276272
-8.627958,41.157621,276278
-8.628057,41.157783,225393
-8.629371,41.158584,225294
-8.629515,41.1588,250688
-8.629884,41.158719,276244
-8.630523,41.158386,231194
-8.631783,41.158494,288428
-8.633043,41.158638,288418
-8.633142,41.159034,52556
-8.624547,41.157144,12223
-8.624592,41.159214,208980
-8.623575,41.158449,53210
-8.628831,41.159358,136780
-8.629848,41.15871,276244
-8.630262,41.157783,250699
-8.628822,41.157009,276261
-8.627787,41.156064,80864
-8.630154,41.158935,156185
-8.630001,41.158548,276245
-8.630154,41.157342,276253
-8.629659,41.156937,276257
-8.629776,41.156172,2935
-8.624205,41.157126,80863
-8.626176,41.157486,2951
-8.627247,41.157666,2952
-8.627526,41.157702,2952
-8.627976,41.158116,276268
-8.628066,41.158251,276269
-8.629245,41.158872,276241
-8.630001,41.158539,276246
-8.630307,41.157963,276248
-8.63028,41.157297,10195
-8.631324,41.156811,10202
-8.63217,41.157459,259927
-8.632764,41.15808,131990
-8.633142,41.158476,259933
-8.628075,41.156253,80864
-8.628516,41.156676,80864
-8.62803,41.157234,276273
-8.627994,41.15736,276274
-8.627967,41.157567,276278
-8.628048,41.157837,250670
-8.628552,41.158602,278840
-8.628768,41.159286,148168
-8.628588,41.159826,148168
-8.628543,41.160006,148169
-8.625168,41.160114,14261
-8.6319,41.158368,288425
-8.631531,41.158287,288425
-8.631027,41.158206,288426
-8.630217,41.157747,276250
-8.630199,41.157522,276251
-8.629335,41.156991,276258
-8.628336,41.157189,276272
-8.627598,41.157639,2966
-8.626275,41.157423,2969
-8.625744,41.157279,2971
-8.625456,41.157243,2971
-8.624961,41.156973,10812
-8.625321,41.155767,10813
-8.623269,41.155785,10801
-8.633052,41.158539,164198
-8.631765,41.158341,288425
-8.631414,41.15826,288425
-8.631225,41.158233,288426
-8.631072,41.158206,288426
-8.630766,41.15817,288426
-8.629983,41.157603,250631
-8.629659,41.157198,250647
-8.629128,41.157009,274006
-8.628759,41.15709,225402
-8.628309,41.157234,276272
-8.628174,41.157387,276274
-8.627931,41.157639,276278
-8.627958,41.157729,225395
-8.626275,41.157459,2969
-8.625762,41.157324,2971
-8.633664,41.158584,164195
-8.633142,41.15844,164198
-8.631468,41.158089,288425
-8.631216,41.158161,288426
-8.631207,41.158071,288426
-8.630739,41.157963,288433
-8.630721,41.158089,288433
-8.630667,41.158341,231194
-8.630604,41.158485,225288
-8.630235,41.15835,276247
-8.62965,41.157126,250707
-8.629506,41.157072,274004
-8.628993,41.156982,274007
-8.623863,41.158899,208983
-8.624628,41.159385,208978
-8.624736,41.160159,229911
-8.628075,41.156487,80864
-8.628336,41.156865,80864
-8.628282,41.157261,276272
-8.628129,41.157252,276273
-8.627949,41.157657,276278
-8.627922,41.158044,276267
-8.628417,41.158638,134547
-8.629056,41.158908,276277
-8.630217,41.158413,276247
-8.631612,41.158377,288427
-8.630694,41.159745,142764
-8.630307,41.15925,156182
-8.62992,41.158755,156186
-8.630154,41.158251,276264
-8.629767,41.157072,276256
-8.62866,41.156946,276263
-8.627751,41.155866,80864
-8.630361,41.159304,156182
-8.63001,41.158881,156185
-8.630226,41.158215,276264
-8.630325,41.157891,276249
-8.630379,41.157729,276250
-8.62362,41.157018,80862
-8.624826,41.157225,2950
-8.625636,41.157441,2951
-8.625789,41.157369,2951
-8.626104,41.157432,2951
-8.626194,41.157351,2951
-8.626608,41.157405,2952
-8.626896,41.157549,2952
-8.6274,41.157666,2952
-8.627787,41.157792,2954
-8.627913,41.157999,276267
-8.628165,41.158548,134545
-8.628795,41.158944,148167
-8.628561,41.159835,148168
-8.628489,41.160159,148169
-8.627724,41.15772,2952
-8.628021,41.157828,276280
-8.62785,41.158098,276267
-8.627121,41.158755,2652
-8.6256,41.159439,2652
-8.624871,41.159763,2652
-8.624178,41.16006,208041
-8.628534,41.157333,250666
-8.628336,41.157522,225383
-8.628264,41.15763,250667
-8.627841,41.158332,276269
-8.629425,41.158908,276242
-8.630991,41.158368,288427
-8.633754,41.158827,288419
-8.627526,41.157396,2966
-8.626122,41.157432,2970
-8.625393,41.157387,2971
-8.625105,41.157342,2971
-8.624817,41.157117,10812
-8.625132,41.156064,10813
-8.628174,41.157216,276273
-8.628039,41.157396,276274
-8.627625,41.157603,2966
-8.62614,41.157549,2970
-8.624952,41.157261,2971
-8.625195,41.156073,10813
-8.624268,41.160141,208041
-8.626725,41.159151,2652
-8.627454,41.158737,2653
-8.628093,41.158593,134545
-8.629281,41.158935,276241
-8.629452,41.158827,276242
-8.629704,41.15871,276244
-8.630316,41.158035,276265
-8.630253,41.15754,276251
-8.629632,41.157027,276256
-8.629587,41.156235,2934
-8.629704,41.155812,225124
-8.628777,41.156028,254815
-8.629434,41.156496,254822
-8.629569,41.156235,2934
-8.629488,41.156163,2934
-8.630451,41.159772,142764
-8.630163,41.159196,156183
-8.63001,41.15871,156186
-8.63028,41.158278,276264
-8.630172,41.157738,276250
-8.631585,41.156955,259927
-8.631783,41.157018,259927
-8.624268,41.157162,2949
-8.627256,41.157657,2952
-8.62803,41.15826,276269
-8.628165,41.158458,134544
-8.6301,41.158548,276246
-8.632656,41.158539,288431
-8.627508,41.155839,80868
-8.627508,41.155731,80868
-8.627562,41.15565,127917
-8.627652,41.155614,127915
-8.627553,41.155659,127917
-8.627913,41.156262,80864
-8.628372,41.156847,80864
-8.628129,41.157396,276274
-8.62803,41.157558,276275
-8.62812,41.157882,250669
-8.628615,41.158701,134547
-8.624502,41.157225,2949
-8.626464,41.157558,2951
-8.627913,41.157792,276279
-8.627976,41.158071,276267
-8.628453,41.158683,134547
-8.629416,41.158845,276242
-8.630136,41.158377,276247
-8.630154,41.157369,276253
-8.629578,41.156469,2934
-8.630019,41.155623,2940
-8.624241,41.157126,80863
-8.624673,41.157198,2949
-8.623359,41.158548,208986
-8.624664,41.159367,208978
-8.624448,41.157126,2949
-8.627373,41.157657,2952
-8.628219,41.158494,134545
-8.628687,41.159646,148168
-8.630622,41.159673,142764
-8.630226,41.159115,156184
-8.630091,41.158494,276246
-8.630244,41.158197,276264
-8.630208,41.157513,276252
-8.629146,41.156955,276260
-8.628435,41.156892,80864
-8.627895,41.156172,80864
-8.627616,41.155767,80868
-8.630127,41.15907,156184
-8.630217,41.15835,276247
-8.630199,41.157594,276251
-8.629587,41.157054,276257
-8.629731,41.156145,2935
-8.627499,41.155785,80868
-8.628408,41.156883,80864
-8.6283,41.157225,276272
-8.628012,41.157522,276275
-8.628156,41.158413,134544
-8.628804,41.159349,148168
-8.624466,41.157225,2949
-8.625825,41.157513,2951
-8.62605,41.157513,2951
-8.625951,41.157468,2951
-8.626077,41.157495,2951
-8.626185,41.157477,2951
-8.626167,41.157405,2951
-8.62614,41.157477,2951
-8.626842,41.157585,2952
-8.627166,41.157657,2952
-8.627832,41.157756,2954
-8.627976,41.158116,276268
-8.628417,41.158674,134547
-8.629362,41.158863,276242
-8.629992,41.15862,276245
-8.630658,41.158242,231194
-8.632602,41.158539,288431
-8.628615,41.159997,244209
-8.62929,41.158935,276241
-8.63028,41.157747,250699
-8.629506,41.156919,208934
-8.629713,41.15583,2937
-8.628237,41.156622,80864
-8.628336,41.157288,276272
-8.627184,41.157558,2967
-8.625834,41.157351,2971
-8.625771,41.157288,2971
-8.624655,41.160114,229911
-8.62416,41.158989,208983
-8.630181,41.159142,156183
-8.629956,41.158863,156185
-8.630046,41.158467,276246
-8.630379,41.157747,276250
-8.629938,41.157162,276255
-8.628876,41.157018,276261
-8.627958,41.15628,80864
-8.624628,41.159457,208977
-8.624628,41.159619,208975
-8.624637,41.160132,229911
-8.623764,41.158809,208984
-8.624583,41.15934,208979
-8.624655,41.159466,208977
-8.624682,41.159538,208976
-8.630163,41.157378,276253
-8.629704,41.156946,276256
-8.629902,41.155641,2940
-8.6328,41.158494,288425
-8.630748,41.158233,288426
-8.63073,41.158161,288426
-8.63073,41.158062,288433
-8.630307,41.157702,276250
-8.630199,41.157288,276254
-8.630136,41.157405,250702
-8.6301,41.157522,273997
-8.626365,41.156694,273143
-8.626383,41.156829,273143
-8.625258,41.157207,2971
-8.625033,41.157144,2971
-8.624709,41.157864,3587
-8.624358,41.158926,3587
-8.632989,41.158314,197345
-8.632125,41.157315,259927
-8.63136,41.156631,246153
-8.630613,41.156991,10197
-8.63019,41.157243,276254
-8.629803,41.157108,276256
-8.629695,41.156091,2936
-8.628732,41.159727,136780
-8.628921,41.15916,136780
-8.629236,41.158872,276241
-8.629623,41.158755,276243
-8.630235,41.157666,250700
-8.629326,41.156973,276258
-8.627913,41.15772,2963
-8.626068,41.157387,2970
-8.625339,41.157279,2971
-8.625195,41.157261,2971
-8.624979,41.156775,10812
-8.62524,41.156019,10813
-8.623296,41.15574,10800
-8.625843,41.157369,2951
-8.625789,41.157432,2951
-8.625312,41.157324,2951
-8.625186,41.15736,2951
-8.626833,41.157621,2952
-8.627157,41.157675,2952
-8.628021,41.157873,276280
-8.627985,41.157945,276266
-8.628507,41.158728,134547
-8.629164,41.15889,276241
-8.629677,41.158791,276243
-8.630289,41.158296,231188
-8.630829,41.158278,288427
-8.632377,41.158539,288431
-8.634069,41.158827,288419
-8.627769,41.155623,127916
-8.628327,41.15673,80864
-8.628579,41.157063,189274
-8.628147,41.157423,276274
-8.62803,41.157531,276275
-8.627913,41.158395,2653
-8.627625,41.158566,2653
-8.627373,41.158692,2653
-8.626581,41.159043,2652
-8.625069,41.159691,2652
-8.624007,41.159997,208041
-8.627958,41.156127,80864
-8.627913,41.156226,80864
-8.628165,41.156424,80864
-8.628174,41.156541,80864
-8.628462,41.156847,80864
-8.628219,41.157333,276273
-8.62794,41.157774,276279
-8.628471,41.158566,134546
-8.62875,41.158818,134549
-8.629506,41.158845,276243
-8.630127,41.158548,276246
-8.627382,41.155713,80867
-8.627913,41.156136,80864
-8.628165,41.156307,80864
-8.628498,41.156721,80864
-8.628552,41.156901,80865
-8.628291,41.15727,274012
-8.628156,41.15745,274013
-8.627958,41.157702,225395
-8.628336,41.15853,134546
-8.628732,41.159601,148168
-8.633907,41.158683,164195
-8.632602,41.1579,259926
-8.631639,41.156856,259927
-8.631144,41.156784,10198
-8.629956,41.157162,276255
-8.629641,41.156154,2934
-8.628093,41.157306,276274
-8.628048,41.157414,276274
-8.627778,41.157612,2965
-8.626257,41.157513,2969
-8.624925,41.15718,2971
-8.624934,41.156973,10812
-8.625159,41.156361,10813
-8.62524,41.156001,10813
-8.623737,41.155623,10797
-8.628201,41.155686,83165
-8.628111,41.155767,83165
-8.628066,41.155686,83165
-8.628183,41.155722,83165
-8.628921,41.156334,254819
-8.629389,41.156514,254821
-8.629542,41.156433,2934
-8.627652,41.155686,127919
-8.62785,41.156172,80864
-8.628111,41.156496,80864
-8.628336,41.156676,80864
-8.628498,41.156739,80864
-8.628255,41.157315,274012
-8.628129,41.157441,274013
-8.628111,41.157513,274013
-8.627994,41.157864,274017
-8.628426,41.158647,134547
-8.628759,41.159475,148168
-8.623485,41.15691,80862
-8.62578,41.157441,2951
-8.627679,41.157783,2952
-8.628075,41.15808,276267
-8.628345,41.158656,134546
-8.630127,41.158521,276246
-8.631927,41.158494,288429
-8.627751,41.157693,2953
-8.627994,41.157765,274016
-8.628138,41.158134,225340
-8.627301,41.158674,2653
-8.625744,41.159403,2652
-8.62488,41.159763,2652
-8.624124,41.160033,208041
-8.624007,41.158917,208983
-8.624754,41.159583,208975
-8.623467,41.158593,208984
-8.624682,41.159763,208974
-8.624295,41.159052,208982
-8.624475,41.159682,208975
-8.6247,41.16015,229911
-8.624691,41.159799,208974
-8.623701,41.158674,208984
-8.627616,41.157693,2952
-8.627616,41.157774,2952
-8.627922,41.158062,276267
-8.627976,41.158206,276268
-8.629074,41.158872,276277
-8.629596,41.158782,276243
-8.63019,41.158215,250696
-8.630055,41.157333,250703
-8.629308,41.156991,276258
-8.628426,41.156802,80864
-8.627625,41.155767,80868
-8.624052,41.159016,16855
-8.62326,41.159421,3584
-8.628984,41.156406,254820
-8.629605,41.15646,2934
-8.629479,41.156226,2934
-8.629335,41.156145,2934
-8.628399,41.157297,276272
-8.627886,41.157648,2963
-8.626446,41.15745,2969
-8.62497,41.15718,2971
-8.625114,41.15637,10813
-8.623503,41.155704,10798
-8.630532,41.159709,142764
-8.630253,41.159277,156182
-8.6301,41.159016,156185
-8.63019,41.158944,156185
-8.629992,41.158665,276245
-8.630316,41.158134,276264
-8.630361,41.157567,276251
-8.629767,41.157045,276256
-8.629587,41.156424,2934
-8.627598,41.155875,80864
-8.628363,41.156703,80864
-8.628453,41.156856,80864
-8.62803,41.157531,276275
-8.627994,41.157666,276278
-8.62803,41.158242,276268
-8.628876,41.158989,148167
-8.628471,41.156919,80865
-8.628111,41.15772,274015
-8.628057,41.158323,274020
-8.629155,41.158926,276241
-8.629947,41.158611,276245
-8.630334,41.157837,276250
-8.629668,41.157018,276256
-8.62965,41.155956,225124
-8.629371,41.156406,2934
-8.627562,41.15772,2966
-8.627643,41.157675,2966
-8.627715,41.157576,2966
-8.627886,41.15745,276275
-8.627724,41.158413,2653
-8.626509,41.159043,2652
-8.62479,41.159826,2652
-8.628804,41.159439,136780
-8.629137,41.158872,276241
-8.63019,41.158278,276247
-8.629902,41.157144,276255
-8.62866,41.156982,276263
-8.627841,41.156073,80864
-8.628102,41.156586,80864
-8.628192,41.156694,80864
-8.628291,41.156721,80864
-8.628597,41.15709,189274
-8.628084,41.157531,274013
-8.628084,41.158026,225358
-8.62875,41.158773,134548
-8.628678,41.159781,148168
-8.629884,41.158656,276245
-8.630298,41.157936,276249
-8.629479,41.156892,208934
-8.62965,41.155695,225126
-8.628777,41.156199,254816
-8.628903,41.156433,254820
-8.629092,41.156451,254821
-8.629506,41.156496,2934
-8.633736,41.15871,164195
-8.632944,41.158332,131992
-8.632305,41.157612,259926
-8.631585,41.156802,246160
-8.630874,41.156937,10197
-8.629938,41.157216,276255
-8.628462,41.157153,276271
-8.627652,41.15763,2966
-8.625897,41.157342,2971
-8.624934,41.156982,10812
-8.625303,41.155839,10813
-8.623386,41.155785,10800
-8.623341,41.158584,208986
-8.624646,41.159871,276585
-8.630046,41.159079,156185
-8.630145,41.158962,156185
-8.630226,41.158917,156185
-8.629956,41.158539,276245
-8.630262,41.158179,276264
-8.630271,41.157558,276251
-8.630091,41.157306,276254
-8.629776,41.157054,276256
-8.629236,41.156964,276258
-8.628327,41.157243,276272
-8.627229,41.157495,2967
-8.625078,41.157207,2971
-8.625195,41.156226,10813
-8.623467,41.155677,10798
-8.623341,41.155731,10800
-8.628669,41.156154,208920
-8.628957,41.156415,254820
-8.629191,41.156469,254821
-8.629713,41.156037,2936
-8.624448,41.159214,208981
-8.624583,41.159367,208978
-8.623332,41.156883,80862
-8.625843,41.15745,2951
-8.627796,41.157675,2953
-8.628003,41.157999,276267
-8.628678,41.158602,278842
-8.630226,41.158413,276247
-8.632017,41.158449,288429
-8.624655,41.159457,208977
-8.62371,41.158674,208984
-8.623764,41.158818,208984
-8.624556,41.15943,208977
-8.624592,41.159556,208975
-8.624646,41.159682,208975
-8.623764,41.158611,208984
-8.624745,41.15952,208976
-8.624745,41.159772,208974
-8.6283,41.157441,225385
-8.62821,41.157558,250667
-8.628192,41.158512,134545
-8.628696,41.159592,148168
-8.623395,41.157081,80862
-8.624142,41.157135,80863
-8.624997,41.157306,2951
-8.624718,41.15988,276585
-8.623773,41.158683,208984
-8.628462,41.157315,250666
-8.628129,41.158287,250671
-8.628921,41.159385,148168
-8.623422,41.158548,208985
-8.624124,41.159088,16855
-8.623233,41.159403,3584
-8.623647,41.157,80862
-8.624952,41.157036,10812
-8.625375,41.155749,10814
-8.624196,41.155803,18393
-8.624106,41.156208,18393
-8.623737,41.157333,53210
-8.623521,41.158629,208984
-8.623809,41.159214,16855
-8.623881,41.157162,80863
