Longitude,Latitude,Grid(Long-Lad size 0.00005),Grid2(Long-Lad size 0.0005),Grid3(Long-Lad size 0.0001),Grid4(Long-Lad size 0.001),Roadsegment
-8.62506,41.159745,181_83,19_9,91_42,10_5,2652
-8.624853,41.159844,185_85,19_9,93_43,10_5,2652
-8.624412,41.15997,194_88,20_9,97_44,10_5,208041
-8.62875,41.159772,107_84,11_9,54_42,6_5,136780
-8.6292,41.15889,98_66,10_7,49_33,5_4,276241
-8.630172,41.158287,78_54,8_6,39_27,4_3,276247
-8.6301,41.15736,80_36,8_4,40_18,4_2,276253
-8.629551,41.156919,91_27,10_3,46_14,5_2,276257
-8.629902,41.155785,84_4,9_1,42_2,5_1,2939
-8.63334,41.158593,15_60,2_6,8_30,1_3,164196
-8.631981,41.158341,42_55,5_6,21_28,3_3,288425
-8.628453,41.157441,113_37,12_4,57_19,6_2,225388
-8.628192,41.157567,118_40,12_4,59_20,6_2,250667
-8.628066,41.157639,121_41,13_5,61_21,7_3,250668
-8.628012,41.157819,122_45,13_5,61_23,7_3,274017
-8.628336,41.158404,115_56,12_6,58_28,6_3,274033
-8.629326,41.158656,95_62,10_7,48_31,5_4,225309
-8.629776,41.158557,86_60,9_6,43_30,5_3,250692
-8.630361,41.157774,75_44,8_5,38_22,4_3,250699
-8.629866,41.157036,85_29,9_3,43_15,5_2,276256
-8.62947,41.156694,92_22,10_3,46_11,5_2,208935
-8.629794,41.156019,86_9,9_1,43_5,5_1,2936
-8.62416,41.160033,199_89,20_9,100_45,10_5,208041
-8.624493,41.159979,192_88,20_9,96_44,10_5,208041
-8.625195,41.159709,178_83,18_9,89_42,9_5,2652
-8.626914,41.158935,144_67,15_7,72_34,8_4,2652
-8.627634,41.15862,129_61,13_7,65_31,7_4,2653
-8.627769,41.15853,127_59,13_6,64_30,7_3,2653
-8.62902,41.158926,101_67,11_7,51_34,6_4,276277
-8.630235,41.158296,77_54,8_6,39_27,4_3,276247
-8.630199,41.157441,78_37,8_4,39_19,4_2,276252
-8.629866,41.157153,85_31,9_4,43_16,5_2,276255
-8.629515,41.156604,92_20,10_2,46_10,5_1,208935
-8.624538,41.159853,191_85,20_9,96_43,10_5,208041
-8.626023,41.159286,161_74,17_8,81_37,9_4,2652
-8.627877,41.158476,124_58,13_6,62_29,7_3,2653
-8.627814,41.158539,126_59,13_6,63_30,7_3,2653
-8.628237,41.158611,117_61,12_7,59_31,6_4,134546
-8.6301,41.158431,80_57,8_6,40_29,4_3,276246
-8.630244,41.158179,77_52,8_6,39_26,4_3,276264
-8.630298,41.157666,76_42,8_5,38_21,4_3,276251
-8.629173,41.156937,98_27,10_3,49_14,5_2,276260
-8.62848,41.157126,112_31,12_4,56_16,6_2,276271
-8.628003,41.157252,122_33,13_4,61_17,7_2,276274
-8.628021,41.157333,121_35,13_4,61_18,7_2,276274
-8.62353,41.15709,211_30,22_3,106_15,11_2,80862
-8.623692,41.157135,208_31,21_4,104_16,11_2,80862
-8.625384,41.157387,174_36,18_4,87_18,9_2,2951
-8.627265,41.157702,137_42,14_5,69_21,7_3,2952
-8.627931,41.157918,123_47,13_5,62_24,7_3,276266
-8.628129,41.158413,119_57,12_6,60_29,6_3,134544
-8.629371,41.158899,94_66,10_7,47_33,5_4,276242
-8.629623,41.158854,89_65,9_7,45_33,5_4,276243
-8.630703,41.158251,68_53,7_6,34_27,4_3,288427
-8.632746,41.158584,27_60,3_6,14_30,2_3,288431
-8.626275,41.156685,156_22,16_3,78_11,8_2,273110
-8.62623,41.15691,157_27,16_3,79_14,8_2,273110
-8.625915,41.157351,164_35,17_4,82_18,9_2,2971
-8.625195,41.157198,178_32,18_4,89_16,9_2,2971
-8.625195,41.156415,178_17,18_2,89_9,9_1,10813
-8.623287,41.155803,216_4,22_1,108_2,11_1,10801
-8.624088,41.157162,200_32,20_4,100_16,10_2,80863
-8.627382,41.157702,134_42,14_5,67_21,7_3,2952
-8.627895,41.158296,124_54,13_6,62_27,7_3,276269
-8.628714,41.158899,108_66,11_7,54_33,6_4,134549
-8.627787,41.1561,126_10,13_1,63_5,7_1,80864
-8.623422,41.157027,213_29,22_3,107_15,11_2,80862
-8.62551,41.157387,172_36,18_4,86_18,9_2,2951
-8.627625,41.157738,129_43,13_5,65_22,7_3,2952
-8.627985,41.158197,122_52,13_6,61_26,7_3,276268
-8.628624,41.158872,109_66,11_7,55_33,6_4,134548
-8.624538,41.159178,191_72,20_8,96_36,10_4,208981
-8.623305,41.158386,216_56,22_6,108_28,11_3,208986
-8.623827,41.158773,205_64,21_7,103_32,11_4,208984
-8.624682,41.159619,188_81,19_9,94_41,10_5,208975
-8.624691,41.160168,188_92,19_10,94_46,10_5,229911
-8.628363,41.15745,115_37,12_4,58_19,6_2,225385
-8.628129,41.15772,119_43,12_5,60_22,6_3,274015
-8.628489,41.158647,112_61,12_7,56_31,6_4,278839
-8.629623,41.158719,89_63,9_7,45_32,5_4,250682
-8.630235,41.158269,77_54,8_6,39_27,4_3,276264
-8.630325,41.1579,75_46,8_5,38_23,4_3,276249
-8.630235,41.157378,77_36,8_4,39_18,4_2,10192
-8.630973,41.156937,62_27,7_3,31_14,4_2,10197
-8.631864,41.157162,45_32,5_4,23_16,3_2,259927
-8.632719,41.158071,28_50,3_5,14_25,2_3,259925
-8.63343,41.158701,13_62,2_7,7_31,1_4,288419
-8.627697,41.156118,128_11,13_2,64_6,7_1,80864
-8.628309,41.156631,116_21,12_3,58_11,6_2,80864
-8.628462,41.157072,113_30,12_3,57_15,6_2,276271
-8.628093,41.157747,120_43,12_5,60_22,6_3,274016
-8.627913,41.157918,124_47,13_5,62_24,7_3,276266
-8.628255,41.158638,117_61,12_7,59_31,6_4,134546
-8.628651,41.159682,109_82,11_9,55_41,6_5,148168
-8.633727,41.158674,7_62,1_7,4_31,1_4,164195
-8.631405,41.158269,54_54,6_6,27_27,3_3,288425
-8.631216,41.158215,58_53,6_6,29_27,3_3,288426
-8.630919,41.158161,64_52,7_6,32_26,4_3,288426
-8.630343,41.157855,75_45,8_5,38_23,4_3,276250
-8.629839,41.157054,85_29,9_3,43_15,5_2,276256
-8.629461,41.15691,93_27,10_3,47_14,5_2,208934
-8.629623,41.156244,89_13,9_2,45_7,5_1,2934
-8.62407,41.158953,200_67,20_7,100_34,10_4,208983
-8.624592,41.159439,190_77,19_8,95_39,10_4,208977
-8.624466,41.159547,193_79,20_8,97_40,10_4,208976
-8.624556,41.159763,191_84,20_9,96_42,10_5,208974
-8.630307,41.157378,76_36,8_4,38_18,4_2,276253
-8.629551,41.156856,91_26,10_3,46_13,5_2,208934
-8.627814,41.157603,126_40,13_4,63_20,7_2,276278
-8.628066,41.158107,121_51,13_6,61_26,7_3,274019
-8.629236,41.158908,97_67,10_7,49_34,5_4,276241
-8.630244,41.158368,77_56,8_6,39_28,4_3,276247
-8.631954,41.158458,43_58,5_6,22_29,3_3,288429
-8.63379,41.158773,6_64,1_7,3_32,1_4,288419
-8.623917,41.158863,204_66,21_7,102_33,11_4,208983
-8.624628,41.159484,189_78,19_8,95_39,10_4,208976
-8.6238,41.157801,206_44,21_5,103_22,11_3,53210
-8.624448,41.159934,193_87,20_9,97_44,10_5,208041
-8.626788,41.158908,146_67,15_7,73_34,8_4,2652
-8.627553,41.158521,131_59,14_6,66_30,7_3,2653
-8.627679,41.158485,128_58,13_6,64_29,7_3,2653
-8.629227,41.158917,97_67,10_7,49_34,5_4,276241
-8.630199,41.158206,78_53,8_6,39_27,4_3,276264
-8.62965,41.157018,89_29,9_3,45_15,5_2,276256
-8.629587,41.156388,90_16,9_2,45_8,5_1,2934
-8.630253,41.15736,77_36,8_4,39_18,4_2,10192
-8.630955,41.157045,63_29,7_3,32_15,4_2,10197
-8.631225,41.15637,57_16,6_2,29_8,3_1,246145
-8.628336,41.157504,115_38,12_4,58_19,6_2,225384
-8.628309,41.157423,116_37,12_4,58_19,6_2,225386
-8.628147,41.157477,119_38,12_4,60_19,6_2,250667
-8.62803,41.158224,121_53,13_6,61_27,7_3,274019
-8.626302,41.159097,156_70,16_7,78_35,8_4,2652
-8.625051,41.1597,181_82,19_9,91_41,10_5,2652
-8.624952,41.159772,183_84,19_9,92_42,10_5,2652
-8.62371,41.160123,208_91,21_10,104_46,11_5,208041
-8.624511,41.157117,192_31,20_4,96_16,10_2,2949
-8.627553,41.157639,131_41,14_5,66_21,7_3,2952
-8.627994,41.1579,122_46,13_5,61_23,7_3,276266
-8.628687,41.158566,108_60,11_6,54_30,6_3,278842
-8.625663,41.160168,169_92,17_10,85_46,9_5,223474
-8.626473,41.159799,152_84,16_9,76_42,8_5,223476
-8.627607,41.159799,130_84,13_9,65_42,7_5,223482
-8.627814,41.159817,126_85,13_9,63_43,7_5,223483
-8.628426,41.159925,113_87,12_9,57_44,6_5,223483
-8.628579,41.16006,110_90,11_9,55_45,6_5,148169
-8.626419,41.155893,154_6,16_1,77_3,8_1,273139
-8.626284,41.156478,156_18,16_2,78_9,8_1,273110
-8.626302,41.156406,156_17,16_2,78_9,8_1,273110
-8.626338,41.156334,155_15,16_2,78_8,8_1,273110
-8.626356,41.156253,155_13,16_2,78_7,8_1,273109
-8.626338,41.156361,155_16,16_2,78_8,8_1,273110
-8.626149,41.156721,159_23,16_3,80_12,8_2,273110
-8.626068,41.156937,161_27,17_3,81_14,9_2,273110
-8.626149,41.156883,159_26,16_3,80_13,8_2,273110
-8.626203,41.156757,158_24,16_3,79_12,8_2,273110
-8.626257,41.156694,157_22,16_3,79_11,8_2,273110
-8.626248,41.156595,157_20,16_2,79_10,8_1,273110
-8.626266,41.156523,157_19,16_2,79_10,8_1,273110
-8.62632,41.156433,155_17,16_2,78_9,8_1,273110
-8.626095,41.157207,160_33,16_4,80_17,8_2,273140
-8.625996,41.157288,162_34,17_4,81_17,9_2,273145
-8.625645,41.15745,169_37,17_4,85_19,9_2,2971
-8.625006,41.157315,182_35,19_4,91_18,10_2,2951
-8.625015,41.157234,182_33,19_4,91_17,10_2,2951
-8.626158,41.157477,159_38,16_4,80_19,8_2,2951
-8.627598,41.157756,130_44,13_5,65_22,7_3,2952
-8.627949,41.157999,123_48,13_5,62_24,7_3,276267
-8.627913,41.158251,124_53,13_6,62_27,7_3,276268
-8.628048,41.158521,121_59,13_6,61_30,7_3,134544
-8.628615,41.159808,110_85,11_9,55_43,6_5,148168
-8.624088,41.157216,200_33,20_4,100_17,10_2,80863
-8.625312,41.157432,176_37,18_4,88_19,9_2,2951
-8.634024,41.15871,1_63,1_7,1_32,1_4,164195
-8.633052,41.158431,21_57,3_6,11_29,2_3,259931
-8.632566,41.157864,31_46,4_5,16_23,2_3,259926
-8.632431,41.157711,33_43,4_5,17_22,2_3,259926
-8.632359,41.157621,35_41,4_5,18_21,2_3,259926
-8.632143,41.157378,39_36,4_4,20_18,2_2,259927
-8.63208,41.157315,40_35,4_4,20_18,2_2,259927
-8.631981,41.157216,42_33,5_4,21_17,3_2,259927
-8.631792,41.157027,46_29,5_3,23_15,3_2,259927
-8.631684,41.15691,48_27,5_3,24_14,3_2,259927
-8.631468,41.156685,53_22,6_3,27_11,3_2,246155
-8.631306,41.15664,56_21,6_3,28_11,3_2,246153
-8.630955,41.156883,63_26,7_3,32_13,4_2,10197
-8.630739,41.156964,67_28,7_3,34_14,4_2,10197
-8.63055,41.157081,71_30,8_3,36_15,4_2,10197
-8.630253,41.157234,77_33,8_4,39_17,4_2,10196
-8.630118,41.157288,80_34,8_4,40_17,4_2,276254
-8.629848,41.157126,85_31,9_4,43_16,5_2,276255
-8.629236,41.156946,97_27,10_3,49_14,5_2,276258
-8.628498,41.156928,112_27,12_3,56_14,6_2,80865
-8.627994,41.15628,122_14,13_2,61_7,7_1,80864
-8.627526,41.155686,131_2,14_1,66_1,7_1,80867
-8.623548,41.157099,211_30,22_3,106_15,11_2,80862
-8.625384,41.157396,174_36,18_4,87_18,9_2,2951
-8.627688,41.157747,128_43,13_5,64_22,7_3,2952
-8.625384,41.157396,174_36,18_4,87_18,9_2,2951
-8.627688,41.157747,128_43,13_5,64_22,7_3,2952
-8.627769,41.157702,127_42,13_5,64_21,7_3,2953
-8.62794,41.158089,123_50,13_5,62_25,7_3,276267
-8.62794,41.158377,123_56,13_6,62_28,7_3,276270
-8.626302,41.159115,156_71,16_8,78_36,8_4,2652
-8.624844,41.159736,185_83,19_9,93_42,10_5,2652
-8.623881,41.160105,204_90,21_9,102_45,11_5,208041
-8.63037,41.159421,74_77,8_8,37_39,4_4,156182
-8.629929,41.158566,83_60,9_6,42_30,5_3,250692
-8.630181,41.157504,78_38,8_4,39_19,4_2,250701
-8.629029,41.156991,101_28,11_3,51_14,6_2,276260
-8.628813,41.156991,106_28,11_3,53_14,6_2,276261
-8.628624,41.157036,109_29,11_3,55_15,6_2,276263
-8.627949,41.15628,123_14,13_2,62_7,7_1,80864
-8.62776,41.156028,127_9,13_1,64_5,7_1,80864
-8.623287,41.156964,216_28,22_3,108_14,11_2,80862
-8.62371,41.157117,208_31,21_4,104_16,11_2,80862
-8.623782,41.15718,206_32,21_4,103_16,11_2,53210
-8.624862,41.157189,185_32,19_4,93_16,10_2,12224
-8.625231,41.156316,177_15,18_2,89_8,9_1,10813
-8.631198,41.159781,58_84,6_9,29_42,3_5,128068
-8.630136,41.1588,79_64,8_7,40_32,4_4,156185
-8.630172,41.158395,78_56,8_6,39_28,4_3,276247
-8.630352,41.158017,75_49,8_5,38_25,4_3,276265
-8.629821,41.157108,85_31,9_4,43_16,5_2,276255
-8.628831,41.156901,105_26,11_3,53_13,6_2,276261
-8.628597,41.156874,110_26,11_3,55_13,6_2,80865
-8.628039,41.156199,121_12,13_2,61_6,7_1,80864
-8.624925,41.159745,183_83,19_9,92_42,10_5,2652
-8.623926,41.16006,203_90,21_9,102_45,11_5,208041
-8.630235,41.159106,77_71,8_8,39_36,4_4,156184
-8.630145,41.158917,79_67,8_7,40_34,4_4,156185
-8.630073,41.158854,80_65,8_7,40_33,4_4,156185
-8.630316,41.158107,76_51,8_6,38_26,4_3,276265
-8.629929,41.157081,83_30,9_3,42_15,5_2,276255
-8.629632,41.156352,89_15,9_2,45_8,5_1,2934
-8.626167,41.155605,159_0,16_0,80_0,8_0,53222
-8.626689,41.155956,148_8,15_1,74_4,8_1,53217
-8.626815,41.155974,146_8,15_1,73_4,8_1,53217
-8.626086,41.155605,160_0,16_0,80_0,8_0,53222
-8.623269,41.155731,217_3,22_1,109_2,11_1,10800
-8.623845,41.158908,205_67,21_7,103_34,11_4,208983
-8.624709,41.159601,188_80,19_8,94_40,10_4,208975
-8.624655,41.159709,189_83,19_9,95_42,10_5,208974
-8.623629,41.157036,209_29,21_3,105_15,11_2,80862
-8.625996,41.157468,162_38,17_4,81_19,9_2,2951
-8.628003,41.1579,122_46,13_5,61_23,7_3,274018
-8.628102,41.158044,120_49,12_5,60_25,6_3,274019
-8.628264,41.158377,117_56,12_6,59_28,6_3,274033
-8.629038,41.158809,101_65,11_7,51_33,6_4,250685
-8.629326,41.158809,95_65,10_7,48_33,5_4,250687
-8.630289,41.158215,76_53,8_6,38_27,4_3,231189
-8.632035,41.158404,41_56,5_6,21_28,3_3,288429
-8.633169,41.158656,19_62,2_7,10_31,1_4,288418
-8.623296,41.158566,216_60,22_6,108_30,11_3,208986
-8.623647,41.158728,209_63,21_7,105_32,11_4,208984
-8.623935,41.158872,203_66,21_7,102_33,11_4,208983
-8.62425,41.15898,197_68,20_7,99_34,10_4,208983
-8.624304,41.159079,196_70,20_7,98_35,10_4,208982
-8.624592,41.159295,190_74,19_8,95_37,10_4,208979
-8.624637,41.159583,189_80,19_8,95_40,10_4,208975
-8.624673,41.160186,188_92,19_10,94_46,10_5,229911
-8.624052,41.157126,201_31,21_4,101_16,11_2,80863
-8.625987,41.157459,162_38,17_4,81_19,9_2,2951
-8.62767,41.157747,128_43,13_5,64_22,7_3,2952
-8.627796,41.157747,126_43,13_5,63_22,7_3,2954
-8.628003,41.158125,122_51,13_6,61_26,7_3,276268
-8.62812,41.158395,119_56,12_6,60_28,6_3,134544
-8.628813,41.15925,106_73,11_8,53_37,6_4,148168
-8.624358,41.159205,195_72,20_8,98_36,10_4,208981
-8.624763,41.159682,187_82,19_9,94_41,10_5,208975
-8.624898,41.159727,184_83,19_9,92_42,10_5,2652
-8.628219,41.15754,118_39,12_4,59_20,6_2,250667
-8.62803,41.158233,121_53,13_6,61_27,7_3,274019
-8.628759,41.158854,107_65,11_7,54_33,6_4,134549
-8.629911,41.158719,84_63,9_7,42_32,5_4,276245
-8.630703,41.158287,68_54,7_6,34_27,4_3,288427
-8.632449,41.158539,33_59,4_6,17_30,2_3,288431
-8.633646,41.158755,9_63,1_7,5_32,1_4,288419
-8.628264,41.157351,117_35,12_4,59_18,6_2,274013
-8.628021,41.15772,121_43,13_5,61_22,7_3,274015
-8.627922,41.157918,123_47,13_5,62_24,7_3,276266
-8.627373,41.15853,134_59,14_6,67_30,7_3,2653
-8.62614,41.15889,159_66,16_7,80_33,8_4,2652
-8.62461,41.159691,190_82,19_9,95_41,10_5,208975
-8.623449,41.160006,213_89,22_9,107_45,11_5,208041
-8.623692,41.157081,208_30,21_3,104_15,11_2,80862
-8.623737,41.157009,207_29,21_3,104_15,11_2,80862
-8.624394,41.157126,194_31,20_4,97_16,10_2,2949
-8.626527,41.157567,151_40,16_4,76_20,8_2,2952
-8.627994,41.157855,122_45,13_5,61_23,7_3,2959
-8.628273,41.158323,116_55,12_6,58_28,6_3,226420
-8.628804,41.159322,106_75,11_8,53_38,6_4,148168
-8.630145,41.15736,79_36,8_4,40_18,4_2,276253
-8.630046,41.15727,81_34,9_4,41_17,5_2,276254
-8.628858,41.156955,105_27,11_3,53_14,6_2,276261
-8.62866,41.157054,109_29,11_3,55_15,6_2,276263
-8.628462,41.156766,113_24,12_3,57_12,6_2,80864
-8.627625,41.155686,129_2,13_1,65_1,7_1,80868
-8.623854,41.157063,205_30,21_3,103_15,11_2,80863
-8.626221,41.157522,157_39,16_4,79_20,8_2,2951
-8.627715,41.157765,128_44,13_5,64_22,7_3,2952
-8.627796,41.15781,126_45,13_5,63_23,7_3,2955
-8.627985,41.158125,122_51,13_6,61_26,7_3,276268
-8.628156,41.158404,119_56,12_6,60_28,6_3,274022
-8.62983,41.158575,85_60,9_6,43_30,5_3,189268
-8.631135,41.158278,59_54,6_6,30_27,3_3,288427
-8.632899,41.158512,24_59,3_6,12_30,2_3,288432
-8.633124,41.159079,19_70,2_7,10_35,1_4,52556
-8.633844,41.160078,5_90,1_9,3_45,1_5,52555
-8.632881,41.159934,24_87,3_9,12_44,2_5,52555
-8.624205,41.158953,198_67,20_7,99_34,10_4,208983
-8.624646,41.159592,189_80,19_8,95_40,10_4,208975
-8.624646,41.160132,189_91,19_10,95_46,10_5,229911
-8.623485,41.158656,212_62,22_7,106_31,11_4,208984
-8.624691,41.159844,188_85,19_9,94_43,10_5,208974
-8.624646,41.159736,189_83,19_9,95_42,10_5,208974
-8.628102,41.157423,120_37,12_4,60_19,6_2,276274
-8.628849,41.158845,105_65,11_7,53_33,6_4,148165
-8.624646,41.159412,189_77,19_8,95_39,10_4,208977
-8.627418,41.15565,134_1,14_1,67_1,7_1,80866
-8.628507,41.15718,112_32,12_4,56_16,6_2,274011
-8.628048,41.15763,121_41,13_5,61_21,7_3,274014
-8.627976,41.158134,122_51,13_6,61_26,7_3,274019
-8.628813,41.158881,106_66,11_7,53_33,6_4,148165
-8.630829,41.159943,65_87,7_9,33_44,4_5,142763
-8.63037,41.159358,74_76,8_8,37_38,4_4,156182
-8.630307,41.159286,76_74,8_8,38_37,4_4,156182
-8.630046,41.158944,81_67,9_7,41_34,5_4,156185
-8.629911,41.158665,84_62,9_7,42_31,5_4,276245
-8.629983,41.158602,82_60,9_6,41_30,5_3,276245
-8.630217,41.158341,78_55,8_6,39_28,4_3,276247
-8.63037,41.157657,74_42,8_5,37_21,4_3,276251
-8.63019,41.157333,78_35,8_4,39_18,4_2,276253
-8.630109,41.157288,80_34,8_4,40_17,4_2,276254
-8.625726,41.158611,167_61,17_7,84_31,9_4,2652
-8.626293,41.158701,156_62,16_7,78_31,8_4,2652
-8.626608,41.158827,150_65,15_7,75_33,8_4,2652
-8.626869,41.158854,145_65,15_7,73_33,8_4,2652
-8.627292,41.158701,136_62,14_7,68_31,7_4,2653
-8.627949,41.158494,123_58,13_6,62_29,7_3,2653
-8.629119,41.158899,100_66,10_7,50_33,5_4,276241
-8.629299,41.158863,96_66,10_7,48_33,5_4,276242
-8.629533,41.1588,91_64,10_7,46_32,5_4,276243
-8.630145,41.158269,79_54,8_6,40_27,4_3,250696
-8.630199,41.157702,78_42,8_5,39_21,4_3,250700
-8.630064,41.157342,81_35,9_4,41_18,5_2,189270
-8.629623,41.157036,89_29,9_3,45_15,5_2,276256
-8.629749,41.155974,87_8,9_1,44_4,5_1,2936
-8.624574,41.159646,190_81,19_9,95_41,10_5,208975
-8.624484,41.159889,192_86,20_9,96_43,10_5,208041
-8.624727,41.160195,187_92,19_10,94_46,10_5,229911
-8.62515,41.159709,179_83,18_9,90_42,9_5,2652
-8.627472,41.158638,132_61,14_7,66_31,7_4,2653
-8.627706,41.158566,128_60,13_6,64_30,7_3,2653
-8.627931,41.158521,123_59,13_6,62_30,7_3,2653
-8.629452,41.158827,93_65,10_7,47_33,5_4,276242
-8.630163,41.158269,79_54,8_6,40_27,4_3,276247
-8.62974,41.157108,87_31,9_4,44_16,5_2,276256
-8.629866,41.155623,85_1,9_1,43_1,5_1,2940
-8.627544,41.155866,131_6,14_1,66_3,7_1,80864
-8.628318,41.156289,116_14,12_2,58_7,6_1,80864
-8.628552,41.156568,111_20,12_2,56_10,6_1,80864
-8.628165,41.15718,119_32,12_4,60_16,6_2,276272
-8.627958,41.157621,123_41,13_5,62_21,7_3,276278
-8.628057,41.157783,121_44,13_5,61_22,7_3,225393
-8.629371,41.158584,94_60,10_6,47_30,5_3,225294
-8.629515,41.1588,92_64,10_7,46_32,5_4,250688
-8.629884,41.158719,84_63,9_7,42_32,5_4,276244
-8.630523,41.158386,71_56,8_6,36_28,4_3,231194
-8.631783,41.158494,46_58,5_6,23_29,3_3,288428
-8.633043,41.158638,21_61,3_7,11_31,2_4,288418
-8.633142,41.159034,19_69,2_7,10_35,1_4,52556
-8.624547,41.157144,191_31,20_4,96_16,10_2,12223
-8.624592,41.159214,190_73,19_8,95_37,10_4,208980
-8.623575,41.158449,210_57,21_6,105_29,11_3,53210
-8.628831,41.159358,105_76,11_8,53_38,6_4,136780
-8.629848,41.15871,85_63,9_7,43_32,5_4,276244
-8.630262,41.157783,77_44,8_5,39_22,4_3,250699
-8.628822,41.157009,105_29,11_3,53_15,6_2,276261
-8.627787,41.156064,126_10,13_1,63_5,7_1,80864
-8.630154,41.158935,79_67,8_7,40_34,4_4,156185
-8.630001,41.158548,82_59,9_6,41_30,5_3,276245
-8.630154,41.157342,79_35,8_4,40_18,4_2,276253
-8.629659,41.156937,89_27,9_3,45_14,5_2,276257
-8.629776,41.156172,86_12,9_2,43_6,5_1,2935
-8.624205,41.157126,198_31,20_4,99_16,10_2,80863
-8.626176,41.157486,158_38,16_4,79_19,8_2,2951
-8.627247,41.157666,137_42,14_5,69_21,7_3,2952
-8.627526,41.157702,131_42,14_5,66_21,7_3,2952
-8.627976,41.158116,122_51,13_6,61_26,7_3,276268
-8.628066,41.158251,121_53,13_6,61_27,7_3,276269
-8.629245,41.158872,97_66,10_7,49_33,5_4,276241
-8.630001,41.158539,82_59,9_6,41_30,5_3,276246
-8.630307,41.157963,76_48,8_5,38_24,4_3,276248
-8.63028,41.157297,76_34,8_4,38_17,4_2,10195
